Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Caribbean small states,CSS,1.262895961,1.277207169,-0.453821213,2.762837601,2.851557072,3.102669362,3.377433272,3.053643092,2.962498297,4.14053004,3.494531054,2.056596486,3.75725821,5.75058849,4.074423354,3.708184363,6.67221132,3.159903015,1.296628546,-3.499164714,1.413614189,1.050031515,1.358767933,0.985441793,0.5843024,1.209958924,-1.889666267,0.029012751
Cuba,CUB,-2.948564945,-10.69269725,-11.5806029,-14.87818062,0.716930038,2.457201143,7.838749977,2.78342506,0.15914605,6.188755307,5.914760019,3.185029904,1.424821261,3.792740223,5.77053807,11.20165656,12.06586298,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438333589,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,5.305202786,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,7.403999506,0.739501448,9.399998832,0.700000292,5.899998774,8.468188508,1.333013436,2.56560816,5.23555375,4.828548364,5.724401738,3.60066503,3.399104373,2.475869511,4.570303485,3.724317726,4.51018332,4.820710541,3.863966058,-1.772450751,1.317777804,0.321196,-3.058274021,-5.933958448,-1.403767772,1.97906359,3.396787702,3.879754768
Czech Republic,CZE,,-11.61494236,-0.506542351,0.061904249,2.909309464,6.221406,4.222814572,-0.594659089,-0.328715516,1.432839479,4.266741357,2.908764882,1.652494055,3.602989459,4.906563764,6.533468806,6.853522334,5.602643685,2.682282724,-4.802572091,2.273420052,1.777833187,-0.799844281,-0.483671041,2.715116132,5.309238519,2.59332602,4.289078941
Germany,DEU,5.255006086,5.108261508,1.923807011,-0.956165307,2.45737182,1.737640631,0.817897617,1.84920067,1.979618407,1.987134949,2.962045368,1.695471452,0,-0.709906172,1.169970413,0.706713948,3.700159572,3.260535297,1.082315404,-5.618860435,4.079933305,3.660000155,0.491992829,0.489584482,1.92969041,1.743205394,1.943625428,2.222824755
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,8.920584625,9.683798116,8.722260061,4.090263628
Dominica,DMA,5.254898279,0.607930897,2.047356934,1.680944019,1.431325265,1.974719115,2.641783027,1.490817886,4.978087155,0.683294802,0.375310954,0.473103034,-1.753160254,7.687213049,3.250144236,-0.088242377,2.9296875,6.321005693,7.120741901,-1.169757154,0.672542759,-0.231011331,-1.073508102,-0.60763179,4.427687542,-2.543734679,2.638450556,-4.213529417
Denmark,DNK,1.475244726,1.393656029,1.957011566,0.010659428,5.332448645,3.027634073,2.900068335,3.260879794,2.218161888,2.948007099,3.746900212,0.8231493,0.466344928,0.390073865,2.668193459,2.336664491,3.912980152,0.909252996,-0.512025222,-4.906525558,1.870992639,1.336774667,0.226468476,0.933349282,1.619374971,1.606608994,1.964077129,2.240138922
